dataset,scene,status,iteration,model_dir,pred_path,reference_path,reference_kind,accepted_gt,alignment,normal_angle_error_deg,normal_metric_reason,pred_points,reference_points,pred_normals,reference_normals,bbox_diag,accuracy_mean,accuracy_median,accuracy_rmse,completeness_mean,completeness_median,completeness_rmse,chamfer_l1,chamfer_l2,hausdorff,threshold_0p5pct,precision_0p5pct,recall_0p5pct,fscore_0p5pct,threshold_1pct,precision_1pct,recall_1pct,fscore_1pct,threshold_2pct,precision_2pct,recall_2pct,fscore_2pct
refnerf,helmet,ok,31000,output/repro_paper/refnerf/helmet,output/repro_paper/refnerf/helmet/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/helmet/helmet_gt_mesh.ply,accepted_gt_mesh,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,61292,200000,False,False,3.1229667212579364,0.012735029942835385,0.009049098110832373,0.01876847802792829,0.02696139989121515,0.019333929699361138,0.03488937351779609,0.019848214917025268,0.0007847620759745593,0.4484948465913796,0.015614833606289681,0.768697383018991,0.410015,0.5347826357627288,0.031229667212579363,0.9278372381387456,0.690325,0.7916502144492765,0.062459334425158726,0.994550675455198,0.9068,0.9486504137768922
refnerf,car,ok,31000,output/repro_paper/refnerf/car,output/repro_paper/refnerf/car/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/car/car_gt_mesh.ply,accepted_gt_mesh,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,109425,200000,False,False,2.7436588655245053,0.008174808039457958,0.00594128977912855,0.011550960097019107,0.04009940693913335,0.010870596216199749,0.08029165244899214,0.024137107489295654,0.0032900870660763364,0.38736827903350746,0.013718294327622527,0.8787571395933288,0.57279,0.6935266354886436,0.027436588655245054,0.9678227096184602,0.73149,0.8332223137644408,0.05487317731049011,0.9951564998857665,0.81196,0.8942724740749419
refnerf,ball,ok,31000,output/repro_paper/refnerf/ball,output/repro_paper/refnerf/ball/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/ball/ball_gt_mesh.ply,accepted_gt_mesh,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,45208,200000,False,False,3.463747116199756,0.013888986197386795,0.0075255853062477125,0.02763984294104927,0.013406458103632415,0.012914689436690621,0.014803207119114509,0.013647722150509606,0.0004915479294086368,0.6803024575036961,0.017318735580998782,0.8237701291806759,0.736115,0.7774797480893189,0.034637471161997564,0.9220934347903026,0.99881,0.9589197738130378,0.06927494232399513,0.9744071845691028,1.0,0.9870377216863285
refnerf,teapot,ok,31000,output/repro_paper/refnerf/teapot,output/repro_paper/refnerf/teapot/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/teapot/teapot_gt_mesh.ply,accepted_gt_mesh,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,21349,200000,False,False,1.797862046525516,0.01228128136346274,0.006242452005557163,0.022249414779382137,0.021105797889603442,0.011209692872815057,0.040572604256763206,0.01669353962653309,0.001070586337100454,0.2839479126407554,0.00898931023262758,0.6253220291348541,0.37734,0.47066510472595213,0.01797862046525516,0.8317017190500726,0.75624,0.7921778242474575,0.03595724093051032,0.936952550470748,0.90338,0.9198600490196766
refnerf,coffee,ok,31000,output/repro_paper/refnerf/coffee,output/repro_paper/refnerf/coffee/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/coffee/coffee_gt_mesh.ply,accepted_gt_mesh,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,49639,200000,False,False,3.227718586619418,0.009338395291541901,0.0067644702091182295,0.015507192016443426,0.03182237175974332,0.02091946906303889,0.04496263020425646,0.02058038352564261,0.001131055559559781,0.3340950712804165,0.01613859293309709,0.9082576200165192,0.40005,0.5554480541556744,0.03227718586619418,0.9715546243880819,0.65752,0.7842692864577717,0.06455437173238836,0.9925663288946192,0.87743,0.9314536724003211
refnerf,toaster,ok,31000,output/repro_paper/refnerf/toaster,output/repro_paper/refnerf/toaster/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/toaster/toaster_gt_mesh.ply,accepted_gt_mesh,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,139828,200000,False,False,3.12977977727524,0.011420740175447877,0.008578282019858111,0.015477999374010497,0.057623514793883314,0.01892037752111404,0.10617322534313238,0.0345221274846656,0.005756161122192719,0.5810814269737106,0.0156488988863762,0.8147223732013616,0.448725,0.5787123463456135,0.0312977977727524,0.9561532740223704,0.632255,0.7611804825671663,0.0625955955455048,0.9935921274708928,0.759645,0.8610099339630338
glossy_synthetic,bell_blender,ok,31000,output/repro_paper/glossy_synthetic/bell_blender,output/repro_paper/glossy_synthetic/bell_blender/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/GlossySyntheticConverted/bell_blender/eval_pts.ply,accepted_eval_points,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,78658,55556,False,False,2.354601089876895,0.009988369091893944,0.0061517812774268535,0.015486503749373912,0.008258001935545876,0.007802442182438272,0.009302369586657502,0.00912318551371991,0.00016318293915307133,0.3521531486038791,0.011773005449384475,0.7862645884716113,0.798671610627115,0.7924195379104609,0.02354601089876895,0.9202115487299448,0.9962380300957593,0.9567167857761458,0.0470920217975379,0.9785145821149788,1.0,0.9891406320280672
glossy_synthetic,tbell_blender,ok,31000,output/repro_paper/glossy_synthetic/tbell_blender,output/repro_paper/glossy_synthetic/tbell_blender/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/GlossySyntheticConverted/tbell_blender/eval_pts.ply,accepted_eval_points,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,73234,72448,False,False,2.653460659393149,0.009392168981482745,0.005613234067416933,0.01608202542639411,0.008252155375537647,0.007284609592478777,0.00952515211921812,0.008822162178510196,0.0001746800323547161,0.40381999614908887,0.013267303296965745,0.8276756697708715,0.8560346731448764,0.841616343836558,0.02653460659393149,0.9400961302127427,0.9971979902826855,0.9678055198773202,0.05306921318786298,0.9901548461097305,1.0,0.9950530714182796
glossy_synthetic,potion_blender,ok,31000,output/repro_paper/glossy_synthetic/potion_blender,output/repro_paper/glossy_synthetic/potion_blender/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/GlossySyntheticConverted/potion_blender/eval_pts.ply,accepted_eval_points,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,67144,114023,False,False,2.8235617392172982,0.009694156208901223,0.0059018248578266,0.016214782922373557,0.01485507956641686,0.010856441195552697,0.02062151923785326,0.012274617887659042,0.0003440831204484246,0.37973578779911116,0.014117808696086491,0.8310943643512451,0.6499390473851767,0.7294375335129429,0.028235617392172983,0.950583819849875,0.8911886198398569,0.919928503867526,0.056471234784345965,0.9901554867151198,0.9769958692544487,0.9835316611552746
glossy_synthetic,teapot_blender,ok,31000,output/repro_paper/glossy_synthetic/teapot_blender,output/repro_paper/glossy_synthetic/teapot_blender/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/GlossySyntheticConverted/teapot_blender/eval_pts.ply,accepted_eval_points,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,151715,63588,False,False,2.4777590740518454,0.010127781303471728,0.006567556028061825,0.01441226364016056,0.015599320208195771,0.007988112672255986,0.036832881772181816,0.01286355075583375,0.0007821872614385089,0.4363784320624628,0.012388795370259227,0.7520812048907491,0.7263634648046802,0.7389986531067975,0.024777590740518454,0.9305342253567545,0.902607410203183,0.9163580936266646,0.04955518148103691,0.9913653890518406,0.9516575454488269,0.9711057301857821
glossy_synthetic,luyu_blender,ok,31000,output/repro_paper/glossy_synthetic/luyu_blender,output/repro_paper/glossy_synthetic/luyu_blender/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/GlossySyntheticConverted/luyu_blender/eval_pts.ply,accepted_eval_points,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,147273,80927,False,False,2.4250816031342475,0.00804621352225718,0.0053871930700665595,0.012056368465913306,0.008355279474417623,0.0060398372336672715,0.011073430958665448,0.008200746498337401,0.00013398844689109957,0.19625503503439098,0.012125408015671238,0.8538496533648394,0.802624587591286,0.8274450745474268,0.024250816031342475,0.9577383498672534,0.960507617976695,0.9591209850005662,0.04850163206268495,0.9902086601074196,0.9970343643036317,0.9936097898753421
glossy_synthetic,cat_blender,ok,31000,output/repro_paper/glossy_synthetic/cat_blender,output/repro_paper/glossy_synthetic/cat_blender/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/GlossySyntheticConverted/cat_blender/eval_pts.ply,accepted_eval_points,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,61037,68335,False,False,2.3456862680345156,0.010141002427929362,0.006005040570730495,0.01706979102823816,0.017438436527638587,0.009497751116700894,0.02992967218586319,0.013789719477783974,0.0005935815214504763,0.2567927730780714,0.011728431340172579,0.7864246276848469,0.6086485695470842,0.6862094772470977,0.023456862680345157,0.9228500745449482,0.8392039218555645,0.8790416223621638,0.046913725360690314,0.975310057833773,0.9163532596765932,0.9449129159702563
nerf_synthetic,ship,ok,31000,output/repro_paper/nerf_synthetic/ship,output/repro_paper/nerf_synthetic/ship/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/ship/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.09468942072023563,0.03254765505749466,0.1403885280685388,0.2203947306207726,0.139056435590874,0.3140731873531048,0.15754207567050413,0.05917545291369469,1.0697008066113807,0.017320156721579782,0.14283,0.10073,0.11814145097717196,0.034640313443159564,0.529345,0.27827,0.3647798348222854,0.06928062688631913,0.63551,0.38219,0.4773225251056303
nerf_synthetic,ficus,ok,31000,output/repro_paper/nerf_synthetic/ficus,output/repro_paper/nerf_synthetic/ficus/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/ficus/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,108181,100000,False,True,3.464031344315956,0.02664137554792824,0.024852390460074182,0.029997918777501586,0.42020484405914416,0.4184924590331226,0.4909279167734621,0.2234231098035362,0.12095504729925646,1.1506950732864984,0.017320156721579782,0.21233858071195497,0.02361,0.042494969670781695,0.034640313443159564,0.8168902117747109,0.05046,0.09504875776028204,0.06928062688631913,0.9860511550087354,0.09936,0.18052890337372562
nerf_synthetic,lego,ok,31000,output/repro_paper/nerf_synthetic/lego,output/repro_paper/nerf_synthetic/lego/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/lego/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.03364792818282834,0.02520679572523568,0.04561870530959761,0.2703544437796361,0.2515918309778912,0.33312078444542037,0.15200118598123222,0.056525261651828064,0.8702466225960499,0.017320156721579782,0.211555,0.05974,0.09317013361838589,0.034640313443159564,0.782345,0.12401,0.21408521705071412,0.06928062688631913,0.908935,0.20771,0.3381466604874423
nerf_synthetic,mic,ok,31000,output/repro_paper/nerf_synthetic/mic,output/repro_paper/nerf_synthetic/mic/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/mic/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.03639581575097636,0.026141723801884557,0.05257019585682141,0.41422033763334143,0.38509125857760407,0.48135417812366244,0.2253080766921589,0.11723273514476555,1.2235633315597758,0.017320156721579782,0.193255,0.02063,0.037280320265563265,0.034640313443159564,0.74196,0.03543,0.0676305144136148,0.06928062688631913,0.90454,0.06261,0.1171136832962829
nerf_synthetic,hotdog,ok,31000,output/repro_paper/nerf_synthetic/hotdog,output/repro_paper/nerf_synthetic/hotdog/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/hotdog/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.05270519683339652,0.02800819753725737,0.07925185413706652,0.3570078454470705,0.3405197925073363,0.4367265191218948,0.2048565211402335,0.0985054544442448,1.0806224973959053,0.017320156721579782,0.169315,0.05685,0.08511978201755355,0.034640313443159564,0.65703,0.1235,0.2079182222336105,0.06928062688631913,0.793985,0.1773,0.28987071868710007
nerf_synthetic,chair,ok,31000,output/repro_paper/nerf_synthetic/chair,output/repro_paper/nerf_synthetic/chair/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/chair/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.023899525459254986,0.02365806189215414,0.025430999745484364,0.3124096715212768,0.28814902171290063,0.38259513816554935,0.1681545984902659,0.07351288774798531,1.1924084654706575,0.017320156721579782,0.235895,0.04578,0.07667896050412709,0.034640313443159564,0.88785,0.09356,0.16928143385537137,0.06928062688631913,1.0,0.14499,0.25325985379784977
nerf_synthetic,materials,ok,31000,output/repro_paper/nerf_synthetic/materials,output/repro_paper/nerf_synthetic/materials/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/materials/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.028586763665639205,0.02521085454259543,0.03367003923248842,0.3592261100020305,0.3347551802395607,0.4327463783314172,0.19390643683383485,0.0942015497504377,0.8996557143298691,0.017320156721579782,0.20746,0.04732,0.07706262029986655,0.034640313443159564,0.79683,0.08417,0.15225693779795688,0.06928062688631913,0.95719,0.13531,0.23710275313501145
nerf_synthetic,drums,ok,31000,output/repro_paper/nerf_synthetic/drums,output/repro_paper/nerf_synthetic/drums/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/drums/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.025246259916494034,0.023805715574794675,0.02856899094036288,0.27490058990692356,0.25153291401998307,0.32938511751445604,0.1500734249117088,0.05465537144168127,0.9043621939904202,0.017320156721579782,0.23281,0.03376,0.05896886821472784,0.034640313443159564,0.866765,0.07151,0.1321198265966801,0.06928062688631913,0.984785,0.13881,0.24332255990815196
